id,year,ethnic,gender,additive,numberID,forwardSequence,backwardSequence,fractions,placeValue,basicFacts,OTJ
231,4,Pasifika,Male,S4,S4,S4,S2,S2,S2,S2,At Standard
235,4,NZEuro,Male,S4,S5,S5,S5,S0,S4,S5,NA
238,4,NZMaori,Female,S4,S5,S2,S2,S2,S2,S2,At Standard
242,5,Asian,Male,S4,S5,S4,S4,S2,S4,S5,At Standard
243,6,NZMaori,Female,S2,NA,S2,NA,NA,S2,S2,At Standard
244,4,Asian,Female,S4,S4,S2,S2,S0,S4,S4,At Standard
245,6,Pasifika,Female,S2,NA,S2,NA,NA,S2,S2,At Standard
248,5,Asian,Female,S4,S5,S4,S4,S2,S4,S5,Above Standard
250,4,Asian,Female,S2,S4,S4,S2,S0,S4,S2,At Standard
252,4,NZEuro,Female,S2,S2,S2,S2,S0,S2,S0,At Standard
262,5,Other,Female,S5,S5,S5,S5,S5,S5,S5,At Standard
271,4,NZEuro,Female,S2,S4,S4,S2,S2,S2,S2,At Standard
274,4,NZEuro,Male,S4,S4,S2,S2,S0,S2,S0,At Standard
275,6,NZEuro,Male,S4,S5,S4,S5,S0,S2,S2,At Standard
276,5,Pasifika,Female,S2,S2,S2,S2,S0,S2,S2,Below Standard
277,6,Other,Female,S2,NA,S4,NA,NA,S2,S2,At Standard
280,5,Other,Female,S2,S4,S2,S2,S0,S2,S0,Below Standard
286,5,NZEuro,Female,S2,S2,S2,S0,S0,S2,S2,At Standard
287,5,NZEuro,Male,S2,S2,S2,S2,S0,S2,S0,Above Standard
292,4,NZEuro,Male,S4,S4,S2,S2,S0,S4,S2,At Standard
293,4,NZEuro,Female,S4,S5,S4,S4,S2,S2,S2,At Standard
296,6,NZEuro,Male,S2,S5,S4,S5,S0,S2,S2,Above Standard
298,4,NZEuro,Male,S2,S2,S2,S2,S0,S2,S2,At Standard
303,5,NZEuro,Female,S2,S4,S2,S2,S0,S2,S2,Above Standard
308,5,NZMaori,Male,S5,S5,S5,S5,S4,S4,S5,At Standard
312,5,NZEuro,Female,S2,S4,S2,S2,S2,S2,S2,At Standard
313,4,NZEuro,Female,S2,S5,S2,S2,S2,S2,S0,At Standard
316,5,NZEuro,Female,S4,S4,S4,S4,S2,S4,S4,At Standard
319,6,NZEuro,Female,S2,S5,S2,S4,S2,S2,S2,At Standard
323,6,NZEuro,Male,S2,S5,S2,S5,S2,S2,S2,At Standard
325,6,NZEuro,Male,S5,S5,S5,S5,S5,S4,S4,At Standard
327,4,NZEuro,Male,S4,S5,S4,S4,S0,S2,S2,At Standard
328,4,NZEuro,Female,S4,S4,S2,S2,S2,S2,S2,At Standard
330,4,NZEuro,Male,S2,S2,S4,S4,S2,S2,S2,Below Standard
333,4,NZEuro,Female,S4,S5,S4,S4,S2,S4,S2,At Standard
351,5,Asian,Male,S5,S5,S5,S5,S4,S4,S4,At Standard
355,4,NZEuro,Male,S4,S5,S4,S2,S5,S4,S2,At Standard
358,4,NZMaori,Male,S5,S5,S5,S5,S5,S5,S4,Above Standard
359,5,NZEuro,Male,S2,S2,S2,S2,S2,S2,S0,Below Standard
364,5,NZEuro,Female,S2,S4,S2,S2,S2,S2,S2,At Standard
365,4,NZEuro,Female,S4,S5,S5,S5,S2,S4,S4,At Standard
367,5,Pasifika,Male,S4,S5,S4,S4,S2,S4,S2,At Standard
371,4,NZEuro,Male,S4,S4,S4,S2,S0,S4,S2,At Standard
372,6,NZEuro,Female,S2,S4,S2,S4,S0,S2,S2,At Standard
375,4,NZEuro,Female,S2,S2,S2,S2,S2,S2,S2,Below Standard
379,4,Asian,Male,S2,S4,S2,S2,S0,S2,S2,At Standard
380,4,NZEuro,Male,S5,S5,S5,S5,S0,S5,S4,Above Standard
387,4,Asian,Female,S2,S2,S2,S2,S0,S2,S2,At Standard
388,4,NZEuro,Female,S2,S2,S4,S4,S0,S0,S2,At Standard
392,5,NZEuro,Male,S2,S4,S2,S2,S2,S2,S2,At Standard
393,4,NZEuro,Female,S2,S2,S2,S0,S0,S2,S0,At Standard
395,6,Other,Female,S2,S5,S2,S5,S2,S4,S2,At Standard
408,4,NZEuro,Male,S2,S2,S4,S4,S2,S2,S2,At Standard
412,5,NZEuro,Male,S4,S4,S4,S4,S2,S2,S2,At Standard
413,5,NZEuro,Male,S4,S4,S5,S5,S5,S5,S4,At Standard
415,4,NZEuro,Female,S4,S4,S4,S4,S5,S4,S4,At Standard
420,4,NZEuro,Male,S2,S2,S2,S0,S2,S2,S2,At Standard
423,4,NZEuro,Female,S2,S2,S4,S4,S2,S0,S2,At Standard
424,5,NZEuro,Female,S4,S5,S4,S4,S0,S2,S4,At Standard
425,5,NZEuro,Male,S4,S4,S2,S2,S0,S2,S2,At Standard
426,6,NZEuro,Female,S4,S4,S4,S4,S0,S2,S2,At Standard
431,6,NZEuro,Female,S5,S5,S5,S5,S2,S4,S5,At Standard
433,4,NZEuro,Female,S2,S2,S0,S0,S0,S0,S0,At Standard
435,5,NZEuro,Male,S4,S4,S4,S4,S2,S4,S4,At Standard
436,6,Other,Female,S2,S5,S2,S4,S2,S2,S2,At Standard
442,6,NZEuro,Male,S2,NA,S2,NA,NA,S2,S0,At Standard
443,4,NZEuro,Male,S2,S2,S0,S0,S0,S0,S0,Below Standard
444,6,Other,Male,S4,S5,S2,S5,S2,S2,S2,Above Standard
447,4,NZEuro,Male,S4,S5,S4,S5,S0,S5,S2,At Standard
455,5,NZEuro,Female,S2,S2,S2,S2,S0,S2,S0,At Standard
459,5,NZEuro,Female,S4,S4,S4,S4,S4,S2,S4,At Standard
472,4,Pasifika,Female,S2,S4,S2,S2,S0,S2,S0,Below Standard
475,4,NZEuro,Male,S2,S4,S2,S2,S2,S2,S2,At Standard
479,6,NZEuro,Female,S4,S5,S4,S4,S4,S2,S2,Below Standard
482,5,Pasifika,Female,S2,S2,S2,S2,S2,S2,S2,At Standard
488,4,NZEuro,Male,S2,S4,S2,S2,S0,S2,S0,At Standard
