id,year,ethnic,gender,additive,numberID,forwardSequence,backwardSequence,fractions,placeValue,basicFacts,OTJ,Below
231,4,Pasifika,Male,S4,S4,S4,S2,S2,S2,S2,At Standard,0
238,4,NZMaori,Female,S4,S5,S2,S2,S2,S2,S2,At Standard,0
242,5,Asian,Male,S4,S5,S4,S4,S2,S4,S5,At Standard,0
244,4,Asian,Female,S4,S4,S2,S2,S0,S4,S4,At Standard,0
248,5,Asian,Female,S4,S5,S4,S4,S2,S4,S5,Above Standard,0
250,4,Asian,Female,S2,S4,S4,S2,S0,S4,S2,At Standard,0
252,4,NZEuro,Female,S2,S2,S2,S2,S0,S2,S0,At Standard,0
262,5,Other,Female,S5,S5,S5,S5,S5,S5,S5,At Standard,0
271,4,NZEuro,Female,S2,S4,S4,S2,S2,S2,S2,At Standard,0
274,4,NZEuro,Male,S4,S4,S2,S2,S0,S2,S0,At Standard,0
275,6,NZEuro,Male,S4,S5,S4,S5,S0,S2,S2,At Standard,0
276,5,Pasifika,Female,S2,S2,S2,S2,S0,S2,S2,Below Standard,1
280,5,Other,Female,S2,S4,S2,S2,S0,S2,S0,Below Standard,1
286,5,NZEuro,Female,S2,S2,S2,S0,S0,S2,S2,At Standard,0
287,5,NZEuro,Male,S2,S2,S2,S2,S0,S2,S0,Above Standard,0
292,4,NZEuro,Male,S4,S4,S2,S2,S0,S4,S2,At Standard,0
293,4,NZEuro,Female,S4,S5,S4,S4,S2,S2,S2,At Standard,0
296,6,NZEuro,Male,S2,S5,S4,S5,S0,S2,S2,Above Standard,0
298,4,NZEuro,Male,S2,S2,S2,S2,S0,S2,S2,At Standard,0
303,5,NZEuro,Female,S2,S4,S2,S2,S0,S2,S2,Above Standard,0
308,5,NZMaori,Male,S5,S5,S5,S5,S4,S4,S5,At Standard,0
312,5,NZEuro,Female,S2,S4,S2,S2,S2,S2,S2,At Standard,0
313,4,NZEuro,Female,S2,S5,S2,S2,S2,S2,S0,At Standard,0
316,5,NZEuro,Female,S4,S4,S4,S4,S2,S4,S4,At Standard,0
319,6,NZEuro,Female,S2,S5,S2,S4,S2,S2,S2,At Standard,0
323,6,NZEuro,Male,S2,S5,S2,S5,S2,S2,S2,At Standard,0
325,6,NZEuro,Male,S5,S5,S5,S5,S5,S4,S4,At Standard,0
327,4,NZEuro,Male,S4,S5,S4,S4,S0,S2,S2,At Standard,0
328,4,NZEuro,Female,S4,S4,S2,S2,S2,S2,S2,At Standard,0
330,4,NZEuro,Male,S2,S2,S4,S4,S2,S2,S2,Below Standard,1
333,4,NZEuro,Female,S4,S5,S4,S4,S2,S4,S2,At Standard,0
351,5,Asian,Male,S5,S5,S5,S5,S4,S4,S4,At Standard,0
355,4,NZEuro,Male,S4,S5,S4,S2,S5,S4,S2,At Standard,0
358,4,NZMaori,Male,S5,S5,S5,S5,S5,S5,S4,Above Standard,0
359,5,NZEuro,Male,S2,S2,S2,S2,S2,S2,S0,Below Standard,1
364,5,NZEuro,Female,S2,S4,S2,S2,S2,S2,S2,At Standard,0
365,4,NZEuro,Female,S4,S5,S5,S5,S2,S4,S4,At Standard,0
367,5,Pasifika,Male,S4,S5,S4,S4,S2,S4,S2,At Standard,0
371,4,NZEuro,Male,S4,S4,S4,S2,S0,S4,S2,At Standard,0
